course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info
베스트밸리-퍼9,2026-09-21,16:31,100000,golfpang,,,
비콘힐스,2026-09-21,18:05,60000,golfpang,,,
비콘힐스,2026-09-21,11:54,100000,golfpang,,,
스프링베일-퍼9,2026-09-21,11:54,95000,golfpang,,,
엘레강스(가명),2026-09-21,12:33,170000,golfpang,,,
베스트밸리-퍼9,2026-09-21,12:28,130000,golfpang,,,
파주,2026-09-21,12:27,200000,golfpang,,,
남양주(퍼9),2026-09-21,12:20,109000,golfpang,,,
파주타이거,2026-09-21,12:19,160000,golfpang,,,
오너스,2026-09-21,12:12,120000,golfpang,,,
라싸,2026-09-21,12:39,149000,golfpang,,,
샤인데일,2026-09-21,13:16,100000,golfpang,,,
파주타이거,2026-09-21,13:08,150000,golfpang,,,
비콘힐스,2026-09-21,07:35,80000,golfpang,,,
스프링베일-퍼9,2026-09-21,07:34,80000,golfpang,,,
한림광릉,2026-09-21,07:34,140000,golfpang,,,
코브스윙,2026-09-21,07:27,140000,golfpang,,,
더플레이어스,2026-09-21,07:26,120000,golfpang,,,
한림광릉,2026-09-21,07:55,140000,golfpang,,,
