course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
대영베이스,2026-09-18,17:57,79000,golfpang,,,18홀,tr_220105427
골프존 화랑,2026-09-18,18:42,99000,golfpang,,,18홀,tr_220105188
한림광릉,2026-09-18,17:31,170000,golfpang,,,18홀,tr_220070514
파주(비공개),2026-09-18,17:20,170000,golfpang,,,18홀,tr_220070392
골프존 안성W,2026-09-18,19:06,110000,golfpang,,,18홀,tr_220049189
골프존 안성W,2026-09-18,17:42,120000,golfpang,,,18홀,tr_220049187
골프존 안성W,2026-09-18,18:38,110000,golfpang,,,18홀,tr_220049188
알펜시아700,2026-09-18,18:12,90000,golfpang,,,18홀,tr_219149644
감곡,2026-09-18,18:00,110000,golfpang,,,18홀,tr_219584957
감곡,2026-09-18,18:00,110000,golfpang,,,18홀,tr_219584958
감곡,2026-09-18,18:00,110000,golfpang,,,18홀,tr_219584956
